Baby You,"

When love ends, there is always a beginning
I've had my fair share of awakenings
But through the clouds, one day the sun came thru
It was the day that I found you

When hearts get broken and scars are left as token
It's just so typical to be cynical
But life does mend our hearts like new
I know now that I found you

Baby you're the reason, I smile again
I thank God for you
In a world that's full of possibilities
I see them all come true
Baby you're the reason, I live again
You make me feel so brand new
Baby you're the reason

We met when we were both lonely and uncertain
Each coming from a place needing time and space
But then fate stepped in with a plan
Now two hearts beat as one

Baby you're the reason, I smile again
I thank God for you
In a world that's full of possibilities
I see them all come true
Baby you're the reason, I live again
You make me feel so brand new
Baby you're the reason

In the still of the night, I close my eyes
As you hold me so tight, our love just feels so right
Here in your arms I feel true love is real
Don't ever let me go your love makes me glow
Baby I want you to know that I love you so

Baby you're the reason, I smile again
I thank God for you
In a world that's full of possibilities
I see them all come true
Baby you're the reason, I live again
You make me feel so brand new
Baby you're the reason

In a world that's full of possibilities
I see them all come true
Baby you're the reason, I live again
You make me feel so brand new
Baby you're the reason
Baby you're the reason
",Sarah Geronimo
Ako,"

Nasaan ka ba
Nasa mabuti ka bang kalagayan
Naaalala mo kaya ang ating mga pinagsamahan
Di ko alam kung ba't pinaghiwalay pa ng tadhana
Ang laging dasal sa Maykapal ay ika'y alagaan

Pinangakong hindi ka iiwan
Sa pangarap ikaw ang kasama
Hinayaang ikaw ay lumisan
Sana'y malaman mo na

[Chorus:]
Ako'y para lamang sa'yo
Kailanma'y di ito magbabago
Kahit san ka pa naroroon, sinta
Di titigil hanggang makapiling kang muli
Ikaw ang sigaw ng puso ko
Ako'y para lamang sa'yo

Nasaan ka araw-araw kang nasa'king isip
At tuwing gabi ay nariyan ka sa bawat panaginip
Pag-ibig sayo'y di titigil 
Kahit pa mundong ito ay maglaho
Kapalaran ko'y nariyan sa piling mo
Di susuko sa paghanap sa'yo

[Chorus]

Umaasang muling makapiling ka
kailangan kita sa aking buhay
Hanggang mamatay hahanapin ka't maghihintay

Ako'y para lamang sa'yo
Kailanma'y di ito magbabago

[Chorus]
",Sarah Geronimo
Kaibigan Mo,"

Umiiyak ka na naman
Lumapit ka sabihin ang dahilan
Ba't ka lumuluha, ba't ka lumuluha

Tutulungan na gumaan
Andito lang ako, ika'y pakikinggan
Wag ka nang lumuha, wag ka nang lumuha

Tahan na

Ako, ako ang kaibigan mo
Di mawawala sa piling mo
Dumaan man ang mga bagyo
Andito lang ako para sa'yo

Ako, ako ang kaibigan mo
Di mawawala sa piling mo
At kahit na magkalayo tayo
Andito lang ako para sa'yo
Kaibigan mo

Wag mong pilitin kung masakit
Isigaw mo ang mga pait
Habang lumuluha, habang lumuluha

Tutulungan na gumaan
Andito lang ako, ika'y pakikinggan
Wag ka nang lumuha, wag ka nang lumuha

Tahan na

Ako, ako ang kaibigan mo
Di mawawala sa piling mo
Dumaan man ang mga bagyo
Andito lang ako para sa'yo

Ako, ako ang kaibigan mo
Di mawawala sa piling mo
At kahit na magkalayo tayo
Andito lang ako para sayo
Kaibigan mo

Dadamayan kahit kailan
Di ka iiwan, ika'y sasamahan
Sa lahat ng luha
Sa lahat ng drama
Tayo ang magkasama

Ako, ako ang kaibigan mo
Di mawawala sa piling mo
Dumaan man ang mga bagyo
Andito lang ako para sa'yo

Ako, ako ang kaibigan mo
Di mawawala sa piling mo
At kahit na magkalayo tayo
Andito lang ako para sayo
Kaibigan mo

Kaibigan mo
",Sarah Geronimo
Kapit,"

Hindi ko na alam ang aking gagawin
Pagkadilim-dilim, di ko napapansin
Ang ikot ng mundo'y lalong bumibilis
Naiwanan

Ako'y nababagabag, sobrang pag-iisip
Paulit-ulit ang 'tong masamang panaginip
Ano at sino pa ang ipaglalaban ko
Ako'y pakinggan mo

Di ko na kayang ipikit ang aking mga mata
Tumatakbo papunta sa
Daang kung nasaan ang liwanag
Naghihintay, nananalig
Na sana ay bumalik pa ang liwanag

Ang mga pangyayaring lumitaw at naganap
Hindi ko hawak ang aking hinaharap
Kaya ko lang gawin ay kumapit pa
Hangga't kaya pa

Di ko na kayang ipikit ang aking mga mata
Tumatakbo papunta sa
Daang kung nasaan ang liwanag
Naghihintay, nananalig
Na sana ay bumalik na ang liwanag
Sana ay bumalik na ang liwanag
",Sarah Geronimo
Only For You,"

I keep thinking of the right words to say
So many feelings rushing through my mind
You're slipping away from me everyday
I'll say this before I run out of time
You may have your doubts
What are we about
But meeting you was more than fate
I know you could be, everything to me
So baby, there's no need to be afraid

You have to trust if things get rough
All my love, it's only for you
The world can be tough but we got enough
All my love, it's only for you
Only for you

Summer skies are sweet dreams of you and me
Oh I just wanna hold you endlessly
Don't you worry I know just what to do
To prove that you are the air that I breathe

You have to trust if things get rough
All my love, it's only for you
The world can be tough but we got enough
All my love, it's only for you
Only for you

You may have your doubts
What are we about
But meeting you is more than fate
I know you could be, everything to me
So baby there's no need to be afraid

You have to trust if things get rough
All my love, it's only for you
The world can be tough but we got enough
All my love

You have to trust if things get rough
All my love, it's only for you
The world can be tough but we got enough
All my love, it's only for you

Only for you [x4]
",Sarah Geronimo
Sabi Mo Sa Akin,"

Puso ko'y inuulan
Hirap makita ang daan

Umaapaw sa tulay ang baha sa kada away
Lampas guhit na ang tubig
Lumalangoy na tayo
Pero 'di ba...

Sabi mo sa akin
Kapit ka lang sa'kin
Sabi mo sa akin
Kapit ka malalim
Sabi mo humawak ka sa atin
Sabi mo sa akin
Bigyan ng pagkakataon

Ang pag-ibig na sinusubok ng panahon
Lumilipas ang bagyo at nagiging ambon
Ambon...

Inaanod ng buhay
Humahampasan na't ngalay
Naghalo nang luha't tubig
Pero yakap ka pa rin
Kasi 'di ba...

Sabi mo sa akin
Kapit ka lang sa'kin
Sabi mo sa akin
Kapit ka malalim
Sabi mo humawak ka sa atin
Sabi mo sa akin
Kaya lang 'wag kang bumitaw

Naglalaban ang katwiran at panghihinayang
Hanggang sa'n ba ang hangganan
'Pag nahihirapan...

Sabi mo sa akin
Sabi mo sa akin

Puso ko'y inuulan
Hirap makita ang daan

Sabi mo sa akin
Kapit ka lang sa'kin
Sabi mo sa akin
Kapit ka malalim
Sabi mo humawak ka sa atin
Sabi mo sa akin
'Wag na 'wag na 'wag bibitaw
Bumitaw...

Inaanod man ng luha
At ng ulan
Nadudurog man ang puso
Pangako ko'y nand'yan, nand'yan, nand'yan

Sabi mo sa akin
Kapit ka lang sa'kin
Sabi mo sa akin
Kapit ka malalim
Sabi mo humawak ka sa atin
Sabi mo sa akin
Kaya pa 'wag kang bumitaw
Bumitaw...

Umaapaw sa tulay ang baha sa kada away
",Sarah Geronimo
Tala,"

Tala, tala, tala...
Ang ningning ng mga tala'y nakikita ko sa'yong mga mata
Tala, tala, tala...
Ang ningning ng yong mga mata'y nahanap ko sa mga tala

Siguro nga't masyadong mabilis ang pagyanig
Ng puso ko para sa puso mo
Siguro nga ako ay makulit, ayaw makinig
Sa takbo ng isip
Hindi ko maipilit
Tila ako'y nakalutang na sa langit
Ngunit nalulunod sa yong mga ngiti

At kung hanggang dito lang talaga tayo
Hindi pababayaan ang daang tinahak na kapiling ka
At kung umabot tayo hanggang dulo
Kapit lang nang mahigpit
Aabutin natin ang mga tala

Tala, tala, tala...
Ang ningning ng mga tala'y nakikita ko sa'yong mga mata
Tala, tala, tala...
Ang ningning ng yong mga mata'y nahanap ko sa mga tala

Maaring kinabukasan ay mag-iba ng
Ihip ng iyong ninanais
Ngunit maaari bang kahit na pansamantala lang
Ikaw muna'y maging akin
Tila ako'y nakalutang na sa langit
Ngunit nalulunod sa yong mga ngiti.

At kung hanggang dito lang talaga tayo
Hindi pababayaan ang daang tinahak na kapiling ka
At kung umabot tayo hanggang dulo
Kapit lang nang mahigpit
Aabutin natin ang mga tala

Tala, tala, tala...
Ang ningning ng mga tala'y nakikita ko sa'yong mga mata
Tala, tala, tala...
Ang ningning ng yong mga mata'y nahanap ko sa mga tala

Hindi man ako nilagay sa mundong ito para sa iyo
Parang nakatingin ang buong daigdig pag ako'y yakap yakap mo

At kung hanggang dito lang talaga tayo
Hindi pababayaan ang daang tinahak na kapiling ka
At kung umabot tayo hanggang dulo
Kapit lang ng mahigpit
Aabutin natin ang mga tala

Tala, tala, tala...
Ang ningning ng mga tala'y nakikita ko sa'yong mga mata
Tala, tala, tala...
Ang ningning ng yong mga mata'y nahanap ko sa mga tala.

Ang ningning ng mga tala'y nakita ko sa'yong mga mata...
Nakita ko sa'yong mga mata.
Ang ningning ng yong mga mata'y nahanap ko sa mga tala...
",Sarah Geronimo
Misteryo,"

Di na mahanap ang kasagutan natutuliro ang isip
Binabagabag ng katanungan ng mapagbirong pag-ibig
May ibig sabihin ba kung parang kayo
Pero wala lang ano bang kaugnayan
Sino bang di mahihirapan
Pag-ibig na kay alap, wala kang katiyakan

Teka muna, para bang akdang baybayin
Teka muna, na di ko magawang basahin

Naririto, nalilito
Ano nga bang nais ipahiwatig
Naririto, nalilito
Dapat bang sumuko o manalig
Tunay o laro man 'to ay umaasa ang puso
Ito'y palaisipang misteryo

Sino bang dapat sisihin
Marahil mali rin na mahulog
Sino bang may sabing isipin kita
Sa paggising hanggang pagtulog
Di ko batid kung kasalanang bigyang kahulugan
Ang tamis na naranasan
Kaya ngayon ay nangangapa lang
Kung may mapapala o hanggang dito na lamang

Teka muna, para bang akdang baybayin
Teka muna, na di ko magawang basahin

Naririto, nalilito
Ano nga bang nais ipahiwatig
Naririto, nalilito
Dapat bang sumuko o manalig
Tunay o laro man 'to ay umaasa ang puso
Ito'y palaisipang misteryo

Parang talinhagang hindi ko mabatid
Para bang hiwagang kagitlahanan ang hatid
Kahit na pilitin ko
Gulung-gulo ang isip ko
Ito'y palaisipang misteryo

Naririto, nalilito
Ano nga bang nais ipahiwatig
Naririto, nalilito
Dapat bang sumuko o manalig
Tunay o laro man 'to ay umaasa ang puso
Ito'y palaisipang misteryo

Pag-ibig ay sadyang
May nakakabit na
Malapalaisipang misteryo

Isang misteryo
",Sarah Geronimo
Ganito,"

Ang pag-ibig ay 'di lang pakiramdam
'Pag tumatagal, lalong dapat alagaan
At kung 'di mo kaya na siya'y mawala
Kung iniisip mo kung paano ipapakita

Ganito
Ang kanyang kamay ay hawakan mo
Na parang hawak mo ang buong mundo
Ang pangalan niya ay tawagin mo
Kung pa'no sinisigaw ng iyong puso at kaluluwa
Wala na'ng mas mahalaga yakapin ang dinarama
Ng lubos, at kung ayaw mo na siya'y maglaho
Mahalin mo siya ng ganito

'Di kailangan ng magagarang salita
Ipaalam mo lang pinipili mo siya araw-araw
At kung 'di mo kaya na siya'y mawala
Kung iniisip mo kung paano ipapakita

Ganito
Ang kaniyang kamay ay hawakan mo
Na parang hawak mo ang buong mundo
Ang pangalan niya ay tawagin mo
Kung pa'no sinisigaw ng iyong puso at kaluluwa
Wala na'ng mas mahalaga yakapin ang dinarama
Ng lubos, at kung ayaw mo na siya'y maglaho
Mahalin mo siya

Kaya mo ba'ng tumabi sa kaniya
Kahit 'tulak ka niya palayo?
Samahan siya sa madilim niyang mundo
Para lang ipakita na 'di siya nag-iisa dito

Ganito
Ang kaniyang kamay ay hawakan mo
Na parang hawak mo ang buong mundo
Ang pangalan niya ay tawagin mo
Kung pa'no sinisigaw ng iyong puso at kaluluwa
Wala na'ng mas mahalaga yakapin ang dinarama
Ng lubos, at kung ayaw mo na siya'y maglaho
Mahalin mo siya ng ganito
Ng ganito
",Sarah Geronimo
Sandata,"

Hmmm... ohhhh oh oh
Napapaligiran ng kung anu-anong kagulo-gulo-gulo-guluhan
Hindi alam kung san ang ating patutungahan
Ang kalalabasan ng kinabukasan
Ikaw lang ang tanging kasiguraduhan
Sa lahat ng alinlangan

Sa digmaan na ito, ikaw lang ang sandata ko
Baligtarin man ang mundo oh oh
Ipaglalaban ang pagibig mo
Ako ay iyo

Ang yakap mo ang siyang aking panangga
Salita mo ang siyang balaraw
Buong daigdig man ang aking kalaban
Hinding hinding hindi mapipigilan
Handang salubungin ang siyang nakatakda sa aking tadhana
Kung ang kahihinatnan nito'y ikaw na ang makakasama

Sa digmaan na ito, ikaw lang ang sandata ko
Baligtarin man ang mundo oh oh
Ipaglalaban ang pagibig mo
Ako ay iyo

Giliw, di na magbabago bumaliktad man ang mundo ako ay iyo
Giliw, di na magbabago bumaliktad man ang mundo ako ay iyo
Giliw, di na magbabago bumaliktad man ang mundo ako ay iyo
Giliw, di na magbabago bumaliktad man ang mundo

Sa digmaan na ito, ikaw lang ang sandata ko
Baligtarin man ang mundo
Ipaglalaban ang pagibig mo
Ako ay iyo

Giliw, di na magbabago bumaliktad man ang mundo ako ay iyo
Giliw, di na magbabago bumaliktad man ang mundo ako ay iyo
Giliw, di na magbabago bumaliktad man ang mundo ako ay iyo
Giliw, di na magbabago bumaliktad man ang mundo ako ay iyo
",Sarah Geronimo
Baka Sakali,"

Minsan lang ako nagkakaganito
Isip at gusto'y hindi nagkakasundo

Hindi alam kung ano'ng gagawin
aatras nalang o susundin
ang nararamdaman ng pusong ito
Litong lito

Nagbabakasakali lang na may madadatnan
Kapag lumubog ang araw, ang kasama ay ikaw
Nagbabakasakali lang na may'rong paraan
para malaman ang nilalaman ng puso mong ligaw
Oh nagbabakasakali
Oh oh nagbabakasakali

Kung matapos ang ilang panahon
at ikaw ang nasa isip, hindi na âto panaginip
Pagkalipas ng mga gabi ay ikaw parin ang nais katabi
Alam ko na na âdi na nakikipaglaro ang puso kong ito
ang puso kong ito

Nagbabakasakali lang na may madadatnan
Kapag lumubog ang araw, ang kasama ay ikaw
Nagbabakasakali lang na may'rong paraan
para malaman ang nilalaman ng puso mong ligaw
Oh nagbabakasakali
Oh nagbabakasakali
Oh nagbabakasakali
Oh oh nagbabakasakali

Hindi alam kung ano'ng gagawin
aatras nalang o susundin
ang nararamdaman ng pusong ito
Litong lito

Nagbabakasakali lang na may madadatnan
Kapag lumubog ang araw, ang kasama ay ikaw
Nagbabakasakali lang na may'rong paraan
para malaman ang nilalaman ng puso mong ligaw
Oh nagbabakasakali
Oh nagbabakasakali
Oh nagbabakasakali
Oh oh nagbabakasakali
",Sarah Geronimo
